,tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits.1,tr_status,tr_duration
1083,2718698,237,0,0,1,0,2,1,142,1,passed,486
1084,2718916,237,0,0,0,1,2,1,143,1,passed,500
1085,2718923,237,0,0,0,1,2,1,144,1,passed,395
1086,2719002,14,0,0,0,0,1,1,5,1,passed,488
1087,2719292,0,0,0,0,0,1,1,106,1,passed,487
1088,2719499,0,0,0,0,0,1,1,107,1,passed,497
1089,2719523,0,0,0,0,0,1,1,108,1,passed,389
1090,2719718,263,0,0,0,0,3,1,74,1,passed,480
1091,2719904,2,0,0,0,0,2,1,2339,1,passed,511
1092,2720091,2,0,0,0,0,2,1,2340,1,passed,478
1093,2720587,22,0,0,0,0,3,1,3,1,passed,495
1094,2721212,2,0,0,0,0,1,1,3,1,passed,598
1095,2721236,14,0,0,0,0,2,1,4,1,passed,467
1096,2721301,15,0,0,0,0,2,2,76,2,passed,505
1097,2721486,1,0,0,0,0,1,1,77,1,passed,553
1098,2721625,2,0,0,0,0,2,1,2341,1,passed,516
1099,2722306,2,0,0,0,0,2,1,2342,1,passed,642
1100,2723292,4,0,20,0,0,2,1,6,1,passed,552
1101,2731141,2,0,0,0,0,2,1,2343,1,passed,459
1102,2732050,23,0,20,0,0,8,1,2426,1,failed,104
1103,2732674,2,0,0,0,0,1,1,79,1,failed,82
1104,2732704,2,0,0,0,0,1,1,80,1,failed,59
1105,2732898,157,0,20,0,0,14,2,2603,2,failed,83
1106,2733025,0,0,0,0,1,0,1,7,1,failed,75
1107,2733056,0,0,0,0,0,3,1,56,1,failed,116
1108,2733555,2,0,0,0,0,2,1,2346,1,failed,88
1109,2734287,2,0,0,0,0,2,1,2347,1,failed,87
1110,2734443,2,0,0,0,0,2,1,2348,1,failed,97
1111,2735218,650,0,0,0,0,16,1,11,1,failed,144
1112,2735411,19,0,0,0,0,3,1,9,1,failed,121
1113,2735803,8,0,0,0,0,1,1,132,1,failed,140
1114,2736036,0,0,0,0,0,1,1,74,1,failed,172
1115,2737670,2,0,0,0,0,2,1,2349,1,failed,181
1116,2739000,4,0,0,0,0,2,2,2350,2,failed,264
1117,2741519,2,0,0,0,0,2,1,2352,1,failed,128
1118,2741974,2,0,0,0,0,2,1,2353,1,failed,178
1119,2746819,2,0,0,1,0,2,2,2457,2,failed,96
1120,2746981,2,0,0,2,0,3,1,154,1,failed,75
1121,2747344,0,0,0,0,0,1,1,24,1,failed,79
1122,2747939,5,0,0,0,0,1,1,1,1,failed,85
1123,2748748,0,0,0,0,0,1,1,75,1,failed,270
1124,2749747,0,0,0,0,0,1,1,113,1,failed,269
1125,2750105,0,0,0,0,0,1,1,114,1,failed,251
1126,2750383,0,0,0,0,0,1,1,115,1,failed,286
1127,2750424,0,0,0,0,0,1,1,116,1,failed,173
1128,2752132,2,0,0,0,0,2,1,2355,1,failed,249
1129,2752554,2,0,0,0,0,2,1,2356,1,failed,276
1130,2752609,2,0,0,0,0,2,1,2357,1,failed,309
1131,2752986,2,0,0,0,0,2,1,2358,1,failed,262
1132,2753086,0,0,0,0,0,1,1,118,1,failed,285
1133,2753146,0,0,0,0,0,2,1,39,1,failed,233
1134,2753495,2,0,0,0,0,2,1,2359,1,failed,264
1135,2753899,2,0,0,0,0,2,1,2360,1,failed,251
1136,2754953,2,0,0,0,0,2,1,2361,1,failed,247
1137,2755828,2,0,0,0,0,2,1,2362,1,failed,261
1138,2756257,2,0,0,0,0,2,1,2363,1,failed,278
1139,2765650,2,0,0,0,0,2,1,2364,1,failed,485
1140,2766436,2,0,0,0,0,2,1,2365,1,failed,225
1141,2776249,2,0,0,0,0,2,1,2366,1,failed,437
1142,2776753,2,0,0,0,0,2,1,2367,1,failed,433
1143,2782711,0,0,0,0,0,1,1,26,1,failed,448
1144,2782829,0,0,0,0,0,1,1,119,1,failed,433
1145,2782862,22,0,0,0,0,1,1,6,1,failed,293
1146,2783174,22,0,0,0,0,3,1,153,1,failed,428
1147,2783803,20,0,0,0,0,3,1,21,1,failed,420
1148,2784469,27,0,0,0,0,1,1,21,1,failed,422
1149,2784990,0,0,0,0,0,2,1,149,1,failed,527
1150,2785758,1,0,0,0,0,1,1,34,1,failed,22
1151,2785783,1,0,0,0,0,1,1,35,1,passed,543
1152,2786088,4,0,0,0,0,2,1,2369,1,passed,560
1153,2786136,0,0,0,0,0,8,1,165,1,passed,416
1154,2786632,0,0,0,0,0,1,1,123,1,passed,546
1155,2786931,2,0,0,0,0,2,1,2370,1,passed,573
1156,2787543,2,0,0,0,0,2,1,2371,1,passed,564
1157,2794040,0,0,0,0,0,1,2,124,2,passed,546
1158,2794142,2,0,0,0,0,2,1,2372,1,passed,764
1159,2794420,2,0,0,0,0,2,1,2373,1,passed,554
1160,2794853,2,0,0,0,0,1,1,5,1,passed,576
1161,2795115,0,0,0,0,0,4,1,82,1,passed,622
1162,2795378,0,0,0,0,0,1,1,33,1,failed,449
1163,2795387,0,0,0,0,0,1,1,78,1,passed,532
1164,2795447,0,0,0,0,0,1,1,34,1,passed,586
1165,2796925,4,0,0,0,0,2,2,2374,2,passed,620
1166,2797619,0,0,0,0,0,1,1,126,1,passed,565
1167,2798620,2,0,0,0,0,2,1,2376,1,passed,574
1168,2799756,2,0,0,0,0,11,1,2541,1,passed,583
1169,2800585,2,0,0,0,0,11,1,2542,1,passed,590
1170,2808378,0,0,0,0,0,1,1,127,1,failed,553
1171,2808626,0,0,0,0,0,1,1,128,1,passed,568
1172,2808866,2,0,0,0,0,2,1,2379,1,passed,578
1173,2809797,2,0,0,0,0,3,2,2502,2,passed,567
1174,2812843,2,0,0,0,0,2,1,2381,1,passed,583
1175,2813891,2,0,0,0,0,11,1,2546,1,passed,621
1176,2813893,10,0,0,0,0,5,1,874,1,passed,567
1177,2814981,2,0,0,0,0,11,1,2547,1,passed,620
1178,2815448,2,0,0,0,0,2,1,2384,1,passed,575
1179,2824222,2,0,0,0,0,11,1,2549,1,passed,524
1180,2824585,2,0,0,0,0,2,1,2386,1,passed,548
1181,2828644,2,0,0,0,0,2,1,2387,1,passed,557
1182,2829382,2,0,0,0,0,2,1,2388,1,passed,585
1183,2829801,2,0,0,0,0,2,1,2389,1,passed,547
1184,2837229,2,0,0,0,0,11,1,2554,1,passed,539
1185,2837231,10,0,0,0,0,5,1,875,1,passed,493
1186,2838024,2,0,0,0,0,11,1,2555,1,passed,554
1187,2838079,10,0,0,0,0,6,1,3248,1,passed,501
1188,2838420,2,0,0,0,0,2,1,2393,1,passed,501
1189,2838709,2,0,0,0,0,2,1,2394,1,failed,437
1190,2839823,4,0,0,0,0,3,3,2519,3,passed,524
1191,2840381,2,0,0,0,0,2,1,2397,1,failed,162
1192,2841522,2,0,0,0,0,2,1,2398,1,failed,207
1193,2843323,2,0,0,0,0,2,1,2399,1,failed,763
1194,2846970,2,0,0,0,0,2,1,2400,1,passed,526
1195,2850656,2,0,0,0,0,11,1,2565,1,passed,519
1196,2850668,10,0,0,0,0,5,1,877,1,passed,473
1197,2856457,2,0,0,0,0,11,1,2566,1,passed,551
1198,2857175,2,0,0,0,0,2,1,2403,1,passed,592
1199,2860715,2,0,0,0,0,2,1,2404,1,passed,553
1200,2867184,2,0,0,0,0,2,1,2405,1,passed,590
1201,2867646,2,0,0,0,0,2,1,2406,1,passed,1162
1202,2873713,6,0,0,0,0,11,1,2571,1,passed,563
1203,2875697,2,0,0,0,0,2,1,44,1,passed,661
1204,2876082,316,0,0,0,0,21,2,14,2,passed,589
1205,2877455,2,0,0,0,0,2,1,2408,1,passed,585
1206,2877763,320,0,0,0,0,25,1,2455,1,passed,563
1207,2877947,2,0,0,0,0,2,1,2410,1,passed,576
1208,2883494,2,0,0,0,0,2,1,2411,1,failed,452
1209,2888973,0,0,4,0,0,1,1,1,1,passed,597
1210,2890117,2,0,0,0,0,2,1,2412,1,passed,588
1211,2897049,2,0,0,0,0,3,2,2439,2,passed,546
1212,2897751,48,0,0,0,0,5,1,164,1,failed,370
1213,2898262,48,0,0,0,0,5,1,165,1,failed,350
1214,2898759,2,0,0,0,0,2,1,2414,1,failed,362
1215,2899516,36,0,66,1,0,3,1,49,1,failed,358
1216,2901172,2179,0,0,0,23,14,12,2558,12,failed,357
1217,2901802,0,0,0,0,0,1,1,90,1,failed,364
1218,2909894,4,0,0,0,0,2,2,2416,2,failed,355
1219,2910440,0,0,0,0,0,1,1,7,1,failed,356
1220,2911772,0,0,0,0,0,1,1,6,1,passed,566
1221,2911846,2215,0,66,1,23,19,1,2631,1,failed,17
1222,2911848,0,0,0,0,0,1,1,7,1,passed,522
1223,2915359,681,0,0,0,0,18,19,420,19,passed,583
1224,2915565,2,0,0,0,0,1,1,139,1,passed,635
1225,2915579,655,0,0,0,0,19,1,451,1,passed,544
1226,2915880,2,0,0,0,0,2,1,2419,1,failed,1823
1227,2917345,2,0,0,0,0,2,1,2420,1,passed,629
1228,2918200,2,0,0,0,0,2,1,2421,1,passed,588
1229,2924913,684,0,0,3,0,4,1,208,1,passed,521
1230,2925034,2,0,0,0,0,2,1,2422,1,passed,510
1231,2925734,11,0,0,0,0,3,2,180,2,passed,517
1232,2928699,13,0,0,0,0,3,2,183,2,passed,529
1233,2928753,2,0,0,0,0,2,1,2424,1,passed,506
1234,2929335,2,0,0,0,0,2,1,2425,1,passed,586
1235,2929537,7,0,0,0,0,2,2,154,2,passed,508
1236,2929775,2,0,0,0,0,1,1,21,1,passed,592
1237,2929874,2,0,0,0,0,2,1,2426,1,passed,412
1238,2930602,71,0,0,1,0,4,2,186,2,passed,519
1239,2931604,2,0,0,0,0,2,1,2427,1,passed,510
1240,2932465,2,0,0,0,0,2,1,2428,1,passed,529
1241,2940981,18,0,0,0,0,1,1,149,1,passed,493
1242,2941284,2,0,0,0,0,2,1,2429,1,passed,478
1243,2945250,2,0,0,0,0,2,1,2430,1,passed,571
1244,2945823,2,0,0,0,0,2,1,2431,1,passed,557
1245,2954509,0,0,0,0,0,1,1,46,1,passed,595
