project,algorithm,batch_size,confidence,project_reqd_builds,project_missed_builds,project_build_duration,project_saved_builds,project_delays,testall_size,batch_delays
vagrant,BATCHSTOP4,8,12,12.32394366197183,2.112676056338028,6004,54.57746478873239,"[2, 10, 11, 3, 9, 12]",284,449.0
vagrant,BATCHSTOP4,8,13,15.492957746478874,1.408450704225352,7131,54.929577464788736,"[5, 7, 10, 12]",284,448.0
vagrant,BATCHSTOP4,8,14,9.859154929577464,2.464788732394366,3804,59.859154929577464,"[8, 14, 2, 8, 3, 14, 12]",284,395.0
vagrant,BATCHSTOP4,8,15,6.690140845070423,2.816901408450704,2919,63.38028169014085,"[11, 6, 13, 2, 8, 4, 10, 12]",284,364.0
vagrant,BATCHSTOP4,8,16,10.211267605633802,2.112676056338028,4670,63.38028169014085,"[14, 11, 8, 4, 15, 12]",284,364.0
vagrant,BATCHSTOP4,8,17,13.380281690140846,1.7605633802816902,5807,62.32394366197183,"[17, 16, 3, 10, 15]",284,370.0
vagrant,BATCHSTOP4,8,18,13.380281690140846,1.7605633802816902,5993,60.563380281690144,"[4, 17, 9, 15, 12]",284,392.0
vagrant,BATCHSTOP4,8,19,17.95774647887324,1.056338028169014,8113,57.74647887323944,"[8, 4, 12]",284,420.0
vagrant,BATCHSTOP4,8,20,10.56338028169014,2.112676056338028,4984,66.19718309859155,"[12, 2, 2, 2, 13, 12]",284,336.0
vagrant,BATCHSTOP4,16,2,27.112676056338028,0.352112676056338,13124,4.225352112676056,[2],284,2040.0
vagrant,BATCHSTOP4,16,3,32.04225352112676,0.0,14433,7.394366197183099,[],284,1948.0
vagrant,BATCHSTOP4,16,4,32.04225352112676,0.0,14898,8.80281690140845,[],284,1926.0
vagrant,BATCHSTOP4,16,5,25.35211267605634,0.704225352112676,12038,14.43661971830986,"[4, 2]",284,1806.0
vagrant,BATCHSTOP4,16,6,30.985915492957748,0.0,14887,14.43661971830986,[],284,1806.0
vagrant,BATCHSTOP4,16,7,28.52112676056338,0.352112676056338,11822,17.253521126760564,[3],284,1746.0
vagrant,BATCHSTOP4,16,8,24.295774647887324,0.704225352112676,10149,22.535211267605632,"[6, 3]",284,1638.0
vagrant,BATCHSTOP4,16,9,19.718309859154928,1.408450704225352,8970,25.704225352112676,"[9, 8, 2, 8]",284,1566.0
vagrant,BATCHSTOP4,16,10,22.535211267605632,1.056338028169014,9849,25.704225352112676,"[4, 6, 2]",284,1566.0
vagrant,BATCHSTOP4,16,11,28.169014084507044,0.352112676056338,12665,25.0,[8],284,1575.0
vagrant,BATCHSTOP4,16,12,19.366197183098592,1.408450704225352,8985,31.338028169014084,"[12, 2, 2, 2]",284,1446.0
vagrant,BATCHSTOP4,16,13,25.704225352112676,0.704225352112676,11358,29.929577464788732,"[6, 12]",284,1468.0
vagrant,BATCHSTOP4,16,14,28.52112676056338,0.352112676056338,11307,27.816901408450704,[8],284,1531.0
vagrant,BATCHSTOP4,16,15,23.239436619718308,1.056338028169014,9863,34.859154929577464,"[3, 6, 12]",284,1365.0
vagrant,BATCHSTOP4,16,16,18.661971830985916,1.408450704225352,8688,37.32394366197183,"[7, 5, 11, 3]",284,1323.0
vagrant,BATCHSTOP4,16,17,18.661971830985916,1.408450704225352,7455,39.7887323943662,"[11, 10, 16, 10]",284,1266.0
vagrant,BATCHSTOP4,16,18,24.64788732394366,0.704225352112676,11293,36.267605633802816,"[3, 16]",284,1335.0
vagrant,BATCHSTOP4,16,19,16.197183098591548,1.7605633802816902,5923,44.71830985915493,"[5, 3, 4, 10, 8]",284,1171.0
vagrant,BATCHSTOP4,16,20,15.845070422535212,1.7605633802816902,7038,47.183098591549296,"[7, 7, 9, 15, 15]",284,1101.0
cloudify,BATCHBISECT,1,2,51.02459016393443,1.2295081967213115,167893,48.97540983606557,"[2, 2, 2, 2, 2, 2]",488,0.0
cloudify,BATCHBISECT,1,3,34.01639344262295,2.6639344262295084,114814,65.98360655737704,"[2, 3, 3, 2, 3, 3, 3, 3, 2, 2, 2, 3, 3]",488,0.0
cloudify,BATCHBISECT,1,4,25.81967213114754,2.459016393442623,86955,74.18032786885246,"[4, 3, 2, 2, 3, 2, 2, 4, 3, 3, 2, 4]",488,0.0
cloudify,BATCHBISECT,1,5,20.28688524590164,3.278688524590164,68073,79.71311475409836,"[5, 5, 3, 4, 5, 2, 3, 3, 3, 4, 4, 4, 5, 3, 5, 5]",488,0.0
cloudify,BATCHBISECT,1,6,17.418032786885245,2.6639344262295084,58699,82.58196721311475,"[2, 3, 4, 5, 3, 6, 3, 3, 5, 5, 2, 3, 3]",488,0.0
cloudify,BATCHBISECT,1,7,15.163934426229508,2.6639344262295084,50400,84.8360655737705,"[2, 4, 5, 3, 5, 7, 2, 6, 6, 4, 4, 6, 2]",488,0.0
cloudify,BATCHBISECT,1,8,13.319672131147541,2.6639344262295084,43132,86.68032786885246,"[3, 8, 2, 5, 3, 2, 5, 8, 7, 5, 7, 6, 8]",488,0.0
cloudify,BATCHBISECT,1,9,11.885245901639344,2.6639344262295084,38783,88.11475409836065,"[5, 9, 5, 9, 9, 9, 6, 7, 9, 8, 3, 8, 6]",488,0.0
cloudify,BATCHBISECT,1,10,10.245901639344263,3.4836065573770494,34923,89.75409836065573,"[5, 10, 8, 5, 9, 2, 3, 8, 6, 8, 3, 3, 9, 3, 5, 10, 10]",488,0.0
cloudify,BATCHBISECT,1,11,9.426229508196721,3.278688524590164,30235,90.57377049180327,"[4, 10, 4, 4, 8, 3, 5, 5, 9, 11, 9, 10, 10, 6, 8, 5]",488,0.0
cloudify,BATCHBISECT,1,12,8.60655737704918,3.278688524590164,29424,91.39344262295081,"[3, 8, 10, 5, 3, 6, 9, 7, 9, 10, 12, 2, 11, 7, 9, 8]",488,0.0
cloudify,BATCHBISECT,1,13,7.991803278688525,3.4836065573770494,26893,92.00819672131148,"[7, 12, 3, 9, 13, 3, 12, 7, 10, 12, 3, 6, 3, 12, 9, 11, 12]",488,0.0
cloudify,BATCHBISECT,1,14,7.172131147540983,3.4836065573770494,23815,92.82786885245902,"[2, 11, 8, 3, 7, 8, 13, 2, 10, 12, 5, 9, 4, 13, 11, 13, 2]",488,0.0
cloudify,BATCHBISECT,1,15,6.762295081967213,3.4836065573770494,23155,93.23770491803279,"[5, 15, 13, 10, 14, 2, 8, 8, 6, 8, 3, 8, 5, 14, 13, 15, 5]",488,0.0
cloudify,BATCHBISECT,1,16,6.967213114754099,2.8688524590163933,21717,93.0327868852459,"[3, 8, 2, 5, 2, 11, 13, 16, 5, 15, 6, 15, 16, 9]",488,0.0
