,Unnamed: 0,project,algorithm,batch_size,confidence,builds_reqd,median_delay,testall_size
276,276,gradle.csv,BATCHBISECT,16,12,11.838006230529595,8.0,1926
277,277,gradle.csv,BATCHBISECT,16,13,11.370716510903428,8.0,1926
278,278,gradle.csv,BATCHBISECT,16,14,12.40913811007269,8.0,1926
279,279,gradle.csv,BATCHBISECT,16,15,13.655244029075805,8.0,1926
280,280,gradle.csv,BATCHBISECT,16,16,12.461059190031152,8.0,1926
281,281,gradle.csv,BATCHBISECT,16,17,11.526479750778815,8.0,1926
282,282,gradle.csv,BATCHBISECT,16,18,11.786085150571132,8.0,1926
283,283,gradle.csv,BATCHBISECT,16,19,12.564901349948078,8.0,1926
284,284,gradle.csv,BATCHBISECT,16,20,11.941848390446522,8.0,1926
285,285,gradle.csv,BATCHSTOP4,4,2,24.247144340602283,1.0,1926
286,286,gradle.csv,BATCHSTOP4,4,3,21.235721703011425,1.5,1926
287,287,gradle.csv,BATCHSTOP4,4,4,19.055036344755973,2.0,1926
288,288,gradle.csv,BATCHSTOP4,4,5,16.874350986500517,2.0,1926
289,289,gradle.csv,BATCHSTOP4,4,6,15.73208722741433,2.0,1926
290,290,gradle.csv,BATCHSTOP4,4,7,14.641744548286605,2.0,1926
291,291,gradle.csv,BATCHSTOP4,4,8,14.53790238836968,2.0,1926
292,292,gradle.csv,BATCHSTOP4,4,9,12.87642782969886,2.0,1926
293,293,gradle.csv,BATCHSTOP4,4,10,12.512980269989615,2.0,1926
294,294,gradle.csv,BATCHSTOP4,4,11,12.09761163032191,2.0,1926
295,295,gradle.csv,BATCHSTOP4,4,12,11.266874350986502,2.0,1926
296,296,gradle.csv,BATCHSTOP4,4,13,10.280373831775702,2.0,1926
297,297,gradle.csv,BATCHSTOP4,4,14,10.12461059190031,2.0,1926
298,298,gradle.csv,BATCHSTOP4,4,15,9.865005192107995,2.0,1926
299,299,gradle.csv,BATCHSTOP4,4,16,9.657320872274145,2.0,1926
300,300,gradle.csv,BATCHSTOP4,4,17,9.190031152647975,2.0,1926
