,project,algorithm,batch_size,builds_reqd,median_delay,testall_size,method
127,metasploit-framework.csv,BATCHSTOP4,8,12.131579399108888,4.0,7600,ssr
167,metasploit-framework.csv,BATCHSTOP4,16,18.394737243652344,8.0,7600,ssr
83,opal.csv,BATCH4,4,12.495179176330566,2.0,2593,ssr
14,opal.csv,BATCHBISECT,1,5.939066886901856,1.0,2593,ssr
34,opal.csv,BATCHBISECT,2,7.674508094787598,1.0,2593,ssr
82,opal.csv,BATCHBISECT,4,13.112225532531738,2.0,2593,ssr
128,opal.csv,BATCHBISECT,8,20.86386489868164,4.0,2593,ssr
168,opal.csv,BATCHBISECT,16,29.7338981628418,7.0,2593,ssr
129,opal.csv,BATCHSTOP4,8,19.784034729003903,4.0,2593,ssr
169,opal.csv,BATCHSTOP4,16,28.34554481506348,7.0,2593,ssr
92,open-build-service.csv,BATCH4,4,25.672765731811523,2.0,3716,ssr
17,open-build-service.csv,BATCHBISECT,1,10.118407249450684,4.0,3716,ssr
37,open-build-service.csv,BATCHBISECT,2,16.60387420654297,1.0,3716,ssr
91,open-build-service.csv,BATCHBISECT,4,28.68675994873047,2.0,3716,ssr
134,open-build-service.csv,BATCHBISECT,8,55.97416687011719,4.0,3716,ssr
174,open-build-service.csv,BATCHBISECT,16,77.31431579589844,7.0,3716,ssr
135,open-build-service.csv,BATCHSTOP4,8,49.56943130493164,4.0,3716,ssr
175,open-build-service.csv,BATCHSTOP4,16,69.13347625732422,7.0,3716,ssr
71,orbeon-forms.csv,BATCH4,4,56.79297637939453,2.0,2164,ssr
10,orbeon-forms.csv,BATCHBISECT,1,36.8299446105957,0.0,2164,ssr
30,orbeon-forms.csv,BATCHBISECT,2,58.64140319824219,1.0,2164,ssr
70,orbeon-forms.csv,BATCHBISECT,4,76.10905456542969,2.0,2164,ssr
120,orbeon-forms.csv,BATCHBISECT,8,90.7578582763672,4.0,2164,ssr
160,orbeon-forms.csv,BATCHBISECT,16,106.74676513671876,7.0,2164,ssr
121,orbeon-forms.csv,BATCHSTOP4,8,70.88724517822266,4.0,2164,ssr
161,orbeon-forms.csv,BATCHSTOP4,16,85.48983001708984,7.0,2164,ssr
56,puppet.csv,BATCH4,4,7.420042514801025,2.0,2345,ssr
5,puppet.csv,BATCHBISECT,1,5.458422183990479,0.0,2345,ssr
25,puppet.csv,BATCHBISECT,2,5.842217445373535,1.0,2345,ssr
55,puppet.csv,BATCHBISECT,4,7.590618133544922,2.0,2345,ssr
110,puppet.csv,BATCHBISECT,8,14.498933792114258,4.0,2345,ssr
150,puppet.csv,BATCHBISECT,16,17.654584884643555,8.0,2345,ssr
111,puppet.csv,BATCHSTOP4,8,13.56076717376709,4.0,2345,ssr
151,puppet.csv,BATCHSTOP4,16,16.63113021850586,8.0,2345,ssr
95,rails.csv,BATCH4,4,35.85733413696289,2.0,14131,ssr
18,rails.csv,BATCHBISECT,1,16.927322387695312,0.0,14131,ssr
38,rails.csv,BATCHBISECT,2,27.65550994873047,1.0,14131,ssr
94,rails.csv,BATCHBISECT,4,43.471797943115234,2.0,14131,ssr
136,rails.csv,BATCHBISECT,8,65.54383850097656,4.0,14131,ssr
176,rails.csv,BATCHBISECT,16,84.35354614257812,7.0,14131,ssr
137,rails.csv,BATCHSTOP4,8,56.202674865722656,4.0,14131,ssr
177,rails.csv,BATCHSTOP4,16,73.52629089355469,7.0,14131,ssr
74,rubinius.csv,BATCH4,4,52.96028137207031,2.0,4003,ssr
11,rubinius.csv,BATCHBISECT,1,13.864601135253906,3.0,4003,ssr
31,rubinius.csv,BATCHBISECT,2,30.602048873901367,1.0,4003,ssr
73,rubinius.csv,BATCHBISECT,4,62.4031982421875,2.0,4003,ssr
122,rubinius.csv,BATCHBISECT,8,88.20884704589844,4.0,4003,ssr
162,rubinius.csv,BATCHBISECT,16,101.72370910644533,7.0,4003,ssr
123,rubinius.csv,BATCHSTOP4,8,76.16787719726562,4.0,4003,ssr
163,rubinius.csv,BATCHSTOP4,16,89.53285217285156,7.0,4003,ssr
86,sonarqube.csv,BATCH4,4,17.747549057006836,2.0,3161,ssr
15,sonarqube.csv,BATCHBISECT,1,10.408099174499512,0.0,3161,ssr
35,sonarqube.csv,BATCHBISECT,2,15.153432846069336,1.0,3161,ssr
85,sonarqube.csv,BATCHBISECT,4,20.594749450683597,2.0,3161,ssr
130,sonarqube.csv,BATCHBISECT,8,35.9063606262207,4.0,3161,ssr
170,sonarqube.csv,BATCHBISECT,16,53.05282974243164,8.0,3161,ssr
131,sonarqube.csv,BATCHSTOP4,8,32.48971939086914,4.0,3161,ssr
171,sonarqube.csv,BATCHSTOP4,16,48.84530258178711,8.0,3161,ssr
62,sufia.csv,BATCH4,4,13.73504638671875,2.0,2257,ssr
7,sufia.csv,BATCHBISECT,1,6.38015079498291,4.0,2257,ssr
27,sufia.csv,BATCHBISECT,2,9.171466827392578,1.0,2257,ssr
61,sufia.csv,BATCHBISECT,4,14.709792137145996,2.0,2257,ssr
114,sufia.csv,BATCHBISECT,8,24.988924026489254,4.0,2257,ssr
154,sufia.csv,BATCHBISECT,16,43.55339050292969,8.0,2257,ssr
115,sufia.csv,BATCHSTOP4,8,22.81789970397949,4.0,2257,ssr
155,sufia.csv,BATCHSTOP4,16,40.5405387878418,8.0,2257,ssr
65,vagrant.csv,BATCH4,4,10.773412704467772,2.0,4047,ssr
8,vagrant.csv,BATCHBISECT,1,7.165802001953125,0.0,4047,ssr
28,vagrant.csv,BATCHBISECT,2,8.450704574584961,1.0,4047,ssr
64,vagrant.csv,BATCHBISECT,4,12.008895874023438,2.0,4047,ssr
116,vagrant.csv,BATCHBISECT,8,16.926118850708008,4.0,4047,ssr
156,vagrant.csv,BATCHBISECT,16,23.6224365234375,7.0,4047,ssr
117,vagrant.csv,BATCHSTOP4,8,15.295280456542969,4.0,4047,ssr
157,vagrant.csv,BATCHSTOP4,16,21.843339920043945,7.0,4047,ssr
0,heroku.csv,BATCH4,4,0.8169149447381067,132.0,2081,sbs
9,rails.csv,BATCH4,4,9.6030004953648,28.0,14131,sbs
18,gradle.csv,BATCH4,4,0.8410428931875525,61.0,3567,sbs
27,jruby.csv,BATCH4,4,36.87900398887949,9.0,8273,sbs
36,metasploit-framework.csv,BATCH4,4,0.6578947368421053,127.5,7600,sbs
45,cloudify.csv,BATCH4,4,5.2773737793476005,94.0,4813,sbs
54,vagrant.csv,BATCH4,4,1.3837410427477144,158.0,4047,sbs
63,rubinius.csv,BATCH4,4,9.517861603797153,16.0,4003,sbs
72,open-build-service.csv,BATCH4,4,4.736275565123789,24.0,3716,sbs
81,sonarqube.csv,BATCH4,4,3.1002847200253085,69.0,3161,sbs
90,loomio.csv,BATCH4,4,6.605065023956194,24.0,2922,sbs
99,fog.csv,BATCH4,4,10.204814947897953,22.0,2783,sbs
108,opal.csv,BATCH4,4,1.3883532587736214,43.5,2593,sbs
117,cloud_controller_ng.csv,BATCH4,4,5.506883604505632,18.0,2397,sbs
126,puppet.csv,BATCH4,4,0.6396588486140725,734.5,2345,sbs
135,concerto.csv,BATCH4,4,1.3484123531970422,63.0,2299,sbs
144,sufia.csv,BATCH4,4,0.974745237040319,95.0,2257,sbs
153,geoserver.csv,BATCH4,4,25.630444750114627,13.0,2181,sbs
162,orbeon-forms.csv,BATCH4,4,24.953789279112755,46.0,2164,sbs
171,graylog2-server.csv,BATCH4,4,0.1423149905123339,797.0,2108,sbs
2,heroku.csv,BATCHSTOP4,8,0.8169149447381067,132.0,2081,sbs
11,rails.csv,BATCHSTOP4,8,9.6030004953648,28.0,14131,sbs
20,gradle.csv,BATCHSTOP4,8,0.8410428931875525,61.0,3567,sbs
29,jruby.csv,BATCHSTOP4,8,36.87900398887949,9.0,8273,sbs
38,metasploit-framework.csv,BATCHSTOP4,8,0.6578947368421053,127.5,7600,sbs
47,cloudify.csv,BATCHSTOP4,8,5.2773737793476005,94.0,4813,sbs
56,vagrant.csv,BATCHSTOP4,8,1.3837410427477144,158.0,4047,sbs
65,rubinius.csv,BATCHSTOP4,8,9.517861603797153,16.0,4003,sbs
74,open-build-service.csv,BATCHSTOP4,8,4.736275565123789,24.0,3716,sbs
83,sonarqube.csv,BATCHSTOP4,8,3.1002847200253085,69.0,3161,sbs
92,loomio.csv,BATCHSTOP4,8,6.605065023956194,24.0,2922,sbs
101,fog.csv,BATCHSTOP4,8,10.204814947897953,22.0,2783,sbs
110,opal.csv,BATCHSTOP4,8,1.3883532587736214,43.5,2593,sbs
